store_name,phone_numbers,website,cashback_percentage,rating,rating_count,categories,main_category,active,instagram,facebook,notes,city,district,street,house,address_notes,coordinates,operating_hours,total_locations
Myshops,+994558898989,https://myshops.az,15.0,4.8,80,"Qurğu və texnologiyalar | Audio avadanlıq və aksessuarlar | Kompyuter texnikası və proqram təminatı | TV və video | Oyun konsolları | Telefon və Cihazlar | Foto, video kameralar və aksessuarlar | İstirahət və əyləncə | İdman və aktiv istirahət | İdman malları | İş və təhsil | İş və təhsil üçün alətlər",Qurğu və texnologiyalar,True,https://www.instagram.com/myshops_az/?igshid=MzRlODBiNWFlZA%3D%3D,https://www.facebook.com/myshops.ae,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.

My Shops şirkəti Dubayda (BƏƏ) fəaliyyət göstərən “My Shops General Trading LLC” şirkətinin törəməsidir. Hazırda şirkətin Bakıda 3 mağazası və 2 servis mərkəzi var. My shops mağazalarında satış ödənişləri nağd, kredit, köçürmə yolu ilə həyata keçirilir: "" Məhsulların çatdırılması tamamilə pulsuzdur. Məhsullar express poçt vasitəsilə ən qısa müddətdə göstərilən ünvana çatdırılır. Azərbaycanın istənilən bölgəsindən bütün sifarişlər qəbul edilir. Məhsullar müştərilərə tam rəsmi zəmanətlə təqdim olunur. My Shops şirkətinin satdığı bütün məhsullar tam orijinal və beynəlxalq standartlara uyğundur. Bundan başqa şirkətin rəsmi servisi MyService-də mövcuddur və bütün telefonların rəsmi zəmanətlə satışı həyata keçirilir. Həmçinin 5 Sentyabr 2018-ci ildən My shops şirkəti Apple-ın Azərbaycandaki səlahiyyətli nümayəndəsi olub, və mağazadan alınan bütün Apple məhsullara yerli və beynəlxəlq servis zəmanəti təqdim olunur. Bundan əlavə bütün satılan mobil cihazlar Nəqliyyat Rabitə və Yüksək texnologiyalar nazirliyi tərəfindən rəsmi olaraq qeydiyyatdan keçirilib.
*UMICO bonusları taksitlə ödənişlərə şamil olunmur.

*UMICO Myshops.az saytı və zəng vasitəsi ilə edilən sifarişlərə şamil edilir

*UMICO digər loyallıq kartlarının istifadəsi zamanı şamil olunmur

*UMICO Super Təklif aksiyası ilə satılan məhsullara şamil olunmur.

* UMICO bonuslarının 1%-i Qara Cümə aksiyasına şamil edilir

",Bakı,Nəsimi,Bülbül prospekti,38A,,"40.37615,49.843078",mon: 11:00-21:00; tue: 11:00-21:00; wed: 11:00-21:00; thu: 11:00-21:00; fri: 11:00-21:00; sat: 11:00-18:00; sun: 11:00-18:00,3
LIBRAFF,,http://www.libraff.az/az/,2.5,4.9,1394,"Uşaq və analara | Uşaq oyunları və oyuncaqlar | Uşaqlar və valideynlər üçün kitablar | Məktəb və uşaqlar üçün dəftərxana ləvazimatları | İstirahət və əyləncə | Hobbi, kitablar | Kitablar, jurnallar, çap materialları | İş və təhsil | İş və təhsil üçün məhsullar | Kitablar",İş və təhsil,True,https://www.instagram.com/libraff.az/,https://www.facebook.com/LIBRAFF/,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.

Libraff – Azərbaycanda kitab və dəftərxana lavazimatları təklif edən mağazalar şəbəkəsidir. Libraff Mağazalar Şəbəkəsinin Bakı şəhərində 5 və Gəncə şəhərində 1 olmaqla ümumi 6 filialı mövcuddur. Libraff-ın “Kitab” bölməsi azərbaycan, rus, ingilis, türk və digər xarici dillərdə olan zəngin kitabxanası ilə xidmətinizdədir. Mağazalarda yerli və aparıcı beynəlxalq nəşriyyatların, klassik əsərləri, xüsusi seçilmiş müasir ədəbiyyat nümunələri, uşaq və yeniyetmələrin şəxsi inkişafına istiqamətlənmiş əyləncə və oxu materiallarını əldə etmək mümkündür. Həmçinin, Libraff mağazalarından “Elektronika və Aksesuarlar”, “Multimedia”, “Dəftərxana”, “Hobbi və Hədiyyələr” bölmələrindən ailənizə və Sizə uyğun məhsulları əldə edə bilərsiniz.",Bakı,Səbail,Rəsul Rza,26A,Xagani t/m-nin yanında,"40.372344,49.838958",mon: 10:00-23:00; tue: 10:00-23:00; wed: 10:00-23:00; thu: 10:00-23:00; fri: 10:00-23:00; sat: 10:00-23:00; sun: 10:00-23:00,5
Cinnabon & Schlotzsky`s,+994125958341,http://cinnabon.az/,5.0,4.6,523,Restoran və kafelər | Restoran və kafelər | Kofe evləri | İstirahət və əyləncə | Əyləncə | Restoran və kafelər | Kofe evləri,Restoran və kafelər,True,https://www.instagram.com/cinnabon_azerbaijan/,https://www.facebook.com/cinnabon.Azerbaijan/,"Cinnabon & Schlotzsky's, Bakının məşhur fast-food kafe-çörəkxana şəbəkəsidir. Kafenin əsas xüsusiyyəti - ən yüksək keyfiyyətli məhsullardan və Cinnabon üçün xüsusi olaraq yetişdirilən darçından hazırlanmış məşhur Cinnabon bulkalarıdır. Menyuda həmçinin desertlər, bulkalar, paninilər, pizzalar, salatlar və Schlotzsky'nin məşhur xırtıldayan çörəkdə, təzə seçilmiş ət və zeytunlu sendviçlərin dadı heç kimi laqeyd qoymayacaqdır. Bu gün Cinnabon 52 ölkədə fəaliyyət göstərən qlobal bir şəbəkədir.

",Bakı,Səbail,M.Ə.Rəsulzadə,4a,,"40.368285,49.83861",mon: 09:00-23:00; tue: 09:00-23:00; wed: 09:00-23:00; thu: 09:00-23:00; fri: 09:00-23:00; sat: 09:00-23:00; sun: 09:00-23:00,7
Baku Book Center,,,2.0,4.8,640,"İstirahət və əyləncə | Tədbirlər | Bayram üçün hər şey | Hobbi, kitablar | Kitablar, jurnallar, çap materialları | İş və təhsil | İş və təhsil üçün məhsullar | Əl işi malları | Kitablar",İş və təhsil,True,,,"The Baku Book Center, rus, türk, ingilis, fransız, alman, ərəb və digər dillərdə istənilən janrlarda kitablar təqdim olunur. Mərkəzin sahəsi təxminən 2500 kvadratmetrdir. Bakı Kitab Mərkəzinin əsas məqsədi - oxucularda xalqın mədəni, mənəvi dəyərlərini və faydalı bilikləri daşıyan kitaba marağı oyatmaqdır. Bakı Kitab Mərkəzinin 1-ci və 2-ci mərtəbələrində Heydər Əliyev Fondunun nəşrləri öz yerini tapıb. Burada, həmçinin, ""I love Baku"" brendinin rəngarəng suvenirləri və “Azərmarka” şirkətinin məhsulları təqdim olunur. Eyni zamanda, 1-ci mərtəbədə Azərbaycan və xarici dillərdə dünya bestsellerləri, incəsənətə aid olan gözəl albomlar, turist bələdçiləri, musiqi kitabları və notlar da satılır. Mərkəzin layihəsi üzərində çalışarkən, yaradıcılar kitabsevərlərin burada asudə vaxtlarını keçirmək üçün də imkan yaradıblar. Kitab satışı ilə yanaşı burada «Coffee mood» adlı kafe də fəaliyyət göstərir. Kafedə əyləşərkən qonaqlarımız Mərkəzdə təqdim olunan kitab və jurnallarla da tanış ola bilərlər.

 ",Bakı,Nəsimi,Qoqol,2,,"40.371321,49.841388",mon: 10:00-22:00; tue: 10:00-22:00; wed: 10:00-22:00; thu: 10:00-22:00; fri: 10:00-22:00; sat: 10:00-22:00; sun: 11:00-22:00,1
Bantik,"+994518212124, +994556387872",,1.5,,0,Gözəllik və sağlamlıq | Parfümeriya | Dekorativ kosmetika | Kosmetika və qulluq məhsulları,Gözəllik və sağlamlıq,True,https://www.instagram.com/bantik.az?igsh=ODNqODQxdDY2dHcy,https://www.facebook.com/profile.php?id=100089539670716&sfnsn=wa&mibextid=RUbZ1f,Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.,Bakı,Nəsimi,Bülbül prospekti,28,,"40.376917,49.842784",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,7
Courir,+994125991970,http://www.blueplanet.az/en/sport-luxury,4.0,4.7,161,Moda və stil | Qadın ayaqqabıları | Kişi ayaqqabıları | İstirahət və əyləncə | İdman və aktiv istirahət | İdman malları | Premium,Moda və stil,True,https://www.instagram.com/courirbaku/?hl=en,https://www.facebook.com/courirbaku/,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.

*Utilizasiya butün məhsulların alışına şamil olunur.

*Endirimli məhsulların alışına hissəli utilizasiya şamil edilmir.

*UMİCO endirimli məhsullara şamil edilmir.

Courir, Bakının mərkəzində yerləşən dəbli və rahat  ayaqqabı mağazasıdır. Mağazalarda Nike, Reebok, Puma, adidas, Asics, Fila və s. Kimi məşhur markaların kişi, qadın və uşaq ayaqqabılarının mövsümi kolleksiyaları yer alır. Burada klassik idman ayaqqabısı, idman ayaqqabısı və çəkmələri, nadir tapılan buraxılışları və yüksək texnologiyalı basketbol yeniliklərini tapa bilərsiniz. Courir çeşidinə geyim, müxtəlif aksessuarlar və ayaqqabı təmizlənməsi və qoruma məhsulları da daxildir.
",Bakı,Nəsimi,Neftçilər prospekti,151,"Port Baku Mall, 1-ci mərtəbə","40.375066,49.860048",mon: 10:00-22:00; tue: 10:00-22:00; wed: 10:00-22:00; thu: 10:00-22:00; fri: 10:00-22:00; sat: 10:00-22:00; sun: 10:00-22:00,3
Sabina,+994124978115,http://www.sabina.az/az/,1.5,4.6,1992,Gözəllik və sağlamlıq | Manikür və pedikür məhsulları | Parfümeriya | Dekorativ kosmetika | Kişi kosmetikası və təraş üçün aksesuarlar | Kosmetika və qulluq məhsulları | Gigiyena məhsulları və avadanlıqları | Umico Shopping Fest,Gözəllik və sağlamlıq,True,https://www.instagram.com/sabina_perfumery_cosmetics/,https://www.facebook.com/sabina.perfumery/,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.


Sabina - Bakıda böyük parfumeria və kosmetika mağazalar  şəbəkəsidir. Mağazanın bütün filiallarında: Pupa, Garnier, Ga-de, Sensai, Chloe, Gucci, Marc Jacobs və s. kimi tanınmış istehsalçıların ətir, dekorativ və qulluq kosmetik vasitələrinin geniş çeşidi təqdim olunur.

*UMICO bonusları taksitli alışverişlərin  bütün məbləğinə hesablanır (Adore və Sabina daxili taksilər istisna olmaqla)
*Daxili taksit satışı üçün UMICO bonusları aylıq ödənişdən sonra hesablanır.
*Hədiyyə kartı alarkən UMICO bonusları hesablanır, UMICO hədiyyə kartından istifadə edərkən isə bonuslar hesablanmır.
*UMICO bonusları digər loyallıq, bonus, və mill kartlarının istifadəsi zamanı,hesablanmır.",Bakı,Səbail,Neftçilər prospekti,26A,Deniz Mall,"40.358175,49.836957",mon: 10:00-22:00; tue: 10:00-22:00; wed: 10:00-22:00; thu: 10:00-22:00; fri: 10:00-22:00; sat: 10:00-22:00; sun: 10:00-22:00,3
Tamstore,+994125264230,,1.0,4.7,21,Supermarketlər,Supermarketlər,True,https://www.instagram.com/tamstore.az/,https://www.facebook.com/tamstoremarket,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.

*UMİCO “alkoqollu içkilər” və “tütün məmulatları” kateqoriyalarından olan məhsullara şamil edilmir.

*UMİCO topdan alışlara şamil edilmir.",Bakı,Xətai,Həsən Salmani,1197,Neftçilər Xəstəxanasının arxasında,"40.380416,49.86263",mon: None-None; tue: None-None; wed: None-None; thu: None-None; fri: None-None; sat: None-None; sun: None-None,44
Bolmart,+994111111111,https://bolmart.az/,1.0,4.8,108373,Marketlərdə məhsullar | Supermarketlər | Supermarketlər | Supermarketlər | Supermarketlər | Supermarketlər,Supermarketlər,True,https://www.instagram.com/bolmart.supermarket/,https://www.facebook.com/bolmart.supermarket,"*Alış-veriş zamanı digər loyallıq kartlarından istifadə olunduğu təqdirdə Umico Bonus kartlarından istifadə məhdudlaşdırılır.

*UMİCO topdan alışlara şamil edilmir.",Bakı,Nəsimi,Şamil Əzizbəyov,88,Xarici İşlər Nazirliyinin arxası,"40.380384,49.84231",mon: 07:00-18:00; tue: 07:00-18:00; wed: 07:00-18:00; thu: 07:00-18:00; fri: 07:00-18:00; sat: 07:00-18:00; sun: 07:00-18:00,37
Megastore,+994502517747,http://megastore.az/,1.0,4.8,24528,Supermarketlər | Supermarketlər | Supermarketlər,Supermarketlər,True,https://www.instagram.com/megastore.market,https://www.facebook.com/megastore.supermarket,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.
",Bakı,Nəsimi,Səməd Vurğun,34,AF Mall,"40.376361,49.841782",mon: None-None; tue: None-None; wed: None-None; thu: None-None; fri: None-None; sat: None-None; sun: None-None,22
